date,site,dailyMean
2013-07-01,0677,2.2
2013-07-02,0677,2.53
2013-07-03,0677,2.86
2013-07-04,0677,2.76333333333
2013-07-05,0677,2.66666666667
2013-07-06,0677,2.57
2013-07-07,0677,2.47333333333
2013-07-08,0677,2.37666666667
2013-07-09,0677,2.28
2013-07-10,0677,1.98666666667
2013-07-11,0677,1.69333333333
2013-07-12,0677,1.4
2013-07-13,0677,1.10666666667
2013-07-14,0677,0.813333333333
2013-07-15,0677,0.52
2013-07-16,0677,0.616666666667
2013-07-17,0677,0.713333333333
2013-07-18,0677,0.81
2013-07-19,0677,0.906666666667
2013-07-20,0677,1.00333333333
2013-07-21,0677,1.1
2013-07-22,0677,1.19666666667
2013-07-23,0677,1.29333333333
2013-07-24,0677,1.39
2013-07-25,0677,1.48666666667
2013-07-26,0677,1.58333333333
2013-07-27,0677,1.68
2013-07-28,0677,1.7
2013-07-29,0677,1.72
2013-07-30,0677,1.74
2013-07-31,0677,1.76
2013-08-01,0677,1.78
2013-08-02,0677,1.8
2013-08-03,0677,1.74666666667
2013-08-04,0677,1.69333333333
2013-08-05,0677,1.64
2013-08-06,0677,1.58666666667
2013-08-07,0677,1.53333333333
2013-08-08,0677,1.48
2013-08-09,0677,1.32333333333
2013-08-10,0677,1.16666666667
2013-08-11,0677,1.01
2013-08-12,0677,0.853333333333
2013-08-13,0677,0.696666666667
2013-08-14,0677,0.54
2013-08-15,0677,0.613333333333
2013-08-16,0677,0.686666666667
2013-08-17,0677,0.76
2013-08-18,0677,0.833333333333
2013-08-19,0677,0.906666666667
2013-08-20,0677,0.98
2013-08-21,0677,1.08333333333
2013-08-22,0677,1.18666666667
2013-08-23,0677,1.29
2013-08-24,0677,1.39333333333
2013-08-25,0677,1.49666666667
2013-08-26,0677,1.6
2013-08-27,0677,1.52
2013-08-28,0677,1.44
2013-08-29,0677,1.36
2013-08-30,0677,1.28
2013-08-31,0677,1.2
2013-09-01,0677,1.12
2013-09-02,0677,2.02
2013-09-03,0677,2.92
2013-09-04,0677,3.82
2013-09-05,0677,4.72
2013-09-06,0677,5.62
2013-09-07,0677,6.52
2013-09-08,0677,5.50666666667
2013-09-09,0677,4.49333333333
2013-09-10,0677,3.48
2013-09-11,0677,2.46666666667
2013-09-12,0677,1.45333333333
2013-09-13,0677,0.44
2013-09-14,0677,0.906666666667
2013-09-15,0677,1.37333333333
2013-09-16,0677,1.84
2013-09-17,0677,2.30666666667
2013-09-18,0677,2.77333333333
2013-09-19,0677,3.24
2013-09-20,0677,3.06333333333
2013-09-21,0677,2.88666666667
2013-09-22,0677,2.71
2013-09-23,0677,2.53333333333
2013-09-24,0677,2.35666666667
2013-09-25,0677,2.18
2013-09-26,0677,2.12
2013-09-27,0677,2.06
2013-09-28,0677,2.0
2013-09-29,0677,1.94
2013-09-30,0677,1.88
2013-10-01,0677,1.82
2013-10-02,0677,1.86333333333
2013-10-03,0677,1.90666666667
2013-10-04,0677,1.95
2013-10-05,0677,1.99333333333
2013-10-06,0677,2.03666666667
2013-10-07,0677,2.08
2013-10-08,0677,1.84666666667
2013-10-09,0677,1.61333333333
2013-10-10,0677,1.38
2013-10-11,0677,1.14666666667
2013-10-12,0677,0.913333333333
2013-10-13,0677,0.68
2013-10-14,0677,0.74
2013-10-15,0677,0.8
2013-10-16,0677,0.86
2013-10-17,0677,0.92
2013-10-18,0677,0.98
2013-10-19,0677,1.04
2013-10-20,0677,1.25
2013-10-21,0677,1.46
2013-10-22,0677,1.67
2013-10-23,0677,1.88
2013-10-24,0677,2.09
2013-10-25,0677,2.3
2013-10-26,0677,2.21666666667
2013-10-27,0677,2.13333333333
2013-10-28,0677,2.05
2013-10-29,0677,1.96666666667
2013-10-30,0677,1.88333333333
2013-10-31,0677,1.8
2013-11-01,0677,1.56666666667
2013-11-02,0677,1.33333333333
2013-11-03,0677,1.1
2013-11-04,0677,0.866666666667
2013-11-05,0677,0.633333333333
2013-11-06,0677,0.4
2013-11-07,0677,0.553333333333
2013-11-08,0677,0.706666666667
2013-11-09,0677,0.86
2013-11-10,0677,1.01333333333
2013-11-11,0677,1.16666666667
2013-11-12,0677,1.32
2013-11-13,0677,1.1
2013-11-14,0677,0.88
2013-11-15,0677,0.66
2013-11-16,0677,0.44
2013-11-17,0677,0.22
2013-11-18,0677,0.0
2013-11-19,0677,0.0916666666667
2013-11-20,0677,0.183333333333
2013-11-21,0677,0.275
2013-11-22,0677,0.366666666667
2013-11-23,0677,0.458333333333
2013-11-24,0677,0.55
2013-11-25,0677,0.641666666667
2013-11-26,0677,0.733333333333
2013-11-27,0677,0.825
2013-11-28,0677,0.916666666667
2013-11-29,0677,1.00833333333
2013-11-30,0677,1.1
2013-12-01,0677,1.30666666667
2013-12-02,0677,1.51333333333
2013-12-03,0677,1.72
2013-12-04,0677,1.92666666667
2013-12-05,0677,2.13333333333
2013-12-06,0677,2.34
2013-12-07,0677,2.18333333333
2013-12-08,0677,2.02666666667
2013-12-09,0677,1.87
2013-12-10,0677,1.71333333333
2013-12-11,0677,1.55666666667
2013-12-12,0677,1.4
2013-12-13,0677,1.62666666667
2013-12-14,0677,1.85333333333
2013-12-15,0677,2.08
2013-12-16,0677,2.30666666667
2013-12-17,0677,2.53333333333
2013-12-18,0677,2.76
2013-12-19,0677,2.65
2013-12-20,0677,2.54
2013-12-21,0677,2.43
2013-12-22,0677,2.32
2013-12-23,0677,2.21
2013-12-24,0677,2.1
2013-12-25,0677,2.01666666667
2013-12-26,0677,1.93333333333
2013-12-27,0677,1.85
2013-12-28,0677,1.76666666667
2013-12-29,0677,1.68333333333
2013-12-30,0677,1.6
2013-12-31,0677,1.55666666667
2014-01-01,0677,1.51333333333
2014-01-02,0677,1.47
2014-01-03,0677,1.42666666667
2014-01-04,0677,1.38333333333
2014-01-05,0677,1.34
2014-01-06,0677,1.29666666667
2014-01-07,0677,1.25333333333
2014-01-08,0677,1.21
2014-01-09,0677,1.16666666667
2014-01-10,0677,1.12333333333
2014-01-11,0677,1.08
2014-01-12,0677,1.03
2014-01-13,0677,0.98
2014-01-14,0677,0.93
2014-01-15,0677,0.88
2014-01-16,0677,0.83
2014-01-17,0677,0.78
2014-01-18,0677,0.736666666667
2014-01-19,0677,0.693333333333
2014-01-20,0677,0.65
2014-01-21,0677,0.606666666667
2014-01-22,0677,0.563333333333
2014-01-23,0677,0.52
2014-01-24,0677,0.79
2014-01-25,0677,1.06
2014-01-26,0677,1.33
2014-01-27,0677,1.6
2014-01-28,0677,1.87
2014-01-29,0677,2.14
2014-01-30,0677,2.04666666667
2014-01-31,0677,1.95333333333
2014-02-01,0677,1.86
2014-02-02,0677,1.76666666667
2014-02-03,0677,1.67333333333
2014-02-04,0677,1.58
2014-02-05,0677,1.51
2014-02-06,0677,1.44
2014-02-07,0677,1.37
2014-02-08,0677,1.3
2014-02-09,0677,1.23
2014-02-10,0677,1.16
2014-02-11,0677,1.26
2014-02-12,0677,1.36
2014-02-13,0677,1.46
2014-02-14,0677,1.56
2014-02-15,0677,1.66
2014-02-16,0677,1.76
2014-02-17,0677,1.54666666667
2014-02-18,0677,1.33333333333
2014-02-19,0677,1.12
2014-02-20,0677,0.906666666667
2014-02-21,0677,0.693333333333
2014-02-22,0677,0.48
2014-02-23,0677,1.14
2014-02-24,0677,1.8
2014-02-25,0677,2.46
2014-02-26,0677,3.12
2014-02-27,0677,3.78
2014-02-28,0677,4.44
2014-03-01,0677,3.7
2014-03-02,0677,2.96
2014-03-03,0677,2.22
2014-03-04,0677,1.48
2014-03-05,0677,0.74
2014-03-06,0677,0.0
2014-03-07,0677,0.0533333333333
2014-03-08,0677,0.106666666667
2014-03-09,0677,0.16
2014-03-10,0677,0.213333333333
2014-03-11,0677,0.266666666667
2014-03-12,0677,0.32
2014-03-13,0677,0.463333333333
2014-03-14,0677,0.606666666667
2014-03-15,0677,0.75
2014-03-16,0677,0.893333333333
2014-03-17,0677,1.03666666667
2014-03-18,0677,1.18
2014-03-19,0677,1.22
2014-03-20,0677,1.26
2014-03-21,0677,1.3
2014-03-22,0677,1.34
2014-03-23,0677,1.38
2014-03-24,0677,1.42
2014-03-25,0677,1.35333333333
2014-03-26,0677,1.28666666667
2014-03-27,0677,1.22
2014-03-28,0677,1.15333333333
2014-03-29,0677,1.08666666667
2014-03-30,0677,1.02
2014-03-31,0677,0.95
2014-04-01,0677,0.88
2014-04-02,0677,0.81
2014-04-03,0677,0.74
2014-04-04,0677,0.67
2014-04-05,0677,0.6
2014-04-06,0677,0.756666666667
2014-04-07,0677,0.913333333333
2014-04-08,0677,1.07
2014-04-09,0677,1.22666666667
2014-04-10,0677,1.38333333333
2014-04-11,0677,1.54
2014-04-12,0677,1.68
2014-04-13,0677,1.82
2014-04-14,0677,1.96
2014-04-15,0677,2.1
2014-04-16,0677,2.24
2014-04-17,0677,2.38
2014-04-18,0677,2.25666666667
2014-04-19,0677,2.13333333333
2014-04-20,0677,2.01
2014-04-21,0677,1.88666666667
2014-04-22,0677,1.76333333333
2014-04-23,0677,1.64
2014-04-24,0677,1.90666666667
2014-04-25,0677,2.17333333333
2014-04-26,0677,2.44
2014-04-27,0677,2.70666666667
2014-04-28,0677,2.97333333333
2014-04-29,0677,3.24
2014-04-30,0677,2.7
2014-05-01,0677,2.16
2014-05-02,0677,1.62
2014-05-03,0677,1.08
2014-05-04,0677,0.54
2014-05-05,0677,0.0
2014-05-06,0677,0.203333333333
2014-05-07,0677,0.406666666667
2014-05-08,0677,0.61
2014-05-09,0677,0.813333333333
2014-05-10,0677,1.01666666667
2014-05-11,0677,1.22
2014-05-12,0677,1.16666666667
2014-05-13,0677,1.11333333333
2014-05-14,0677,1.06
2014-05-15,0677,1.00666666667
2014-05-16,0677,0.953333333333
2014-05-17,0677,0.9
2014-05-18,0677,0.93
2014-05-19,0677,0.96
2014-05-20,0677,0.99
2014-05-21,0677,1.02
2014-05-22,0677,1.05
2014-05-23,0677,1.08
2014-05-24,0677,1.03333333333
2014-05-25,0677,0.986666666667
2014-05-26,0677,0.94
2014-05-27,0677,0.893333333333
2014-05-28,0677,0.846666666667
2014-05-29,0677,0.8
2014-05-30,0677,1.12333333333
2014-05-31,0677,1.44666666667
2014-06-01,0677,1.77
2014-06-02,0677,2.09333333333
2014-06-03,0677,2.41666666667
2014-06-04,0677,2.74
2014-06-05,0677,2.62666666667
2014-06-06,0677,2.51333333333
2014-06-07,0677,2.4
2014-06-08,0677,2.28666666667
2014-06-09,0677,2.17333333333
2014-06-10,0677,2.06
2014-06-11,0677,1.96666666667
2014-06-12,0677,1.87333333333
2014-06-13,0677,1.78
2014-06-14,0677,1.68666666667
2014-06-15,0677,1.59333333333
2014-06-16,0677,1.5
2014-06-17,0677,1.25
2014-06-18,0677,1.0
2014-06-19,0677,0.75
2014-06-20,0677,0.5
2014-06-21,0677,0.25
2014-06-22,0677,0.0
2014-06-23,0677,0.316666666667
2014-06-24,0677,0.633333333333
2014-06-25,0677,0.95
2014-06-26,0677,1.26666666667
2014-06-27,0677,1.58333333333
2014-06-28,0677,1.9
2014-06-29,0677,1.79
2014-06-30,0677,1.68
2014-07-01,0677,1.57
2014-07-02,0677,1.46
2014-07-03,0677,1.35
2014-07-04,0677,1.24
2014-07-05,0677,1.28333333333
2014-07-06,0677,1.32666666667
2014-07-07,0677,1.37
2014-07-08,0677,1.41333333333
2014-07-09,0677,1.45666666667
2014-07-10,0677,1.5
2014-07-11,0677,1.54333333333
2014-07-12,0677,1.58666666667
2014-07-13,0677,1.63
2014-07-14,0677,1.67333333333
2014-07-15,0677,1.71666666667
2014-07-16,0677,1.76
2014-07-17,0677,1.86333333333
2014-07-18,0677,1.96666666667
2014-07-19,0677,2.07
2014-07-20,0677,2.17333333333
2014-07-21,0677,2.27666666667
2014-07-22,0677,2.38
2014-07-23,0677,1.98333333333
2014-07-24,0677,1.58666666667
2014-07-25,0677,1.19
2014-07-26,0677,0.793333333333
2014-07-27,0677,0.396666666667
2014-07-28,0677,0.0
2014-07-29,0677,0.203333333333
2014-07-30,0677,0.406666666667
2014-07-31,0677,0.61
2014-08-01,0677,0.813333333333
2014-08-02,0677,1.01666666667
2014-08-03,0677,1.22
2014-08-04,0677,1.08
2014-08-05,0677,0.94
2014-08-06,0677,0.8
2014-08-07,0677,0.66
2014-08-08,0677,0.52
2014-08-09,0677,0.38
2014-08-10,0677,1.01
2014-08-11,0677,1.64
2014-08-12,0677,2.27
2014-08-13,0677,2.9
2014-08-14,0677,3.53
2014-08-15,0677,4.16
2014-08-16,0677,3.72333333333
2014-08-17,0677,3.28666666667
2014-08-18,0677,2.85
2014-08-19,0677,2.41333333333
2014-08-20,0677,1.97666666667
2014-08-21,0677,1.54
2014-08-22,0677,1.57
2014-08-23,0677,1.6
2014-08-24,0677,1.63
2014-08-25,0677,1.66
2014-08-26,0677,1.69
2014-08-27,0677,1.72
2014-08-28,0677,1.79
2014-08-29,0677,1.86
2014-08-30,0677,1.93
2014-08-31,0677,2.0
2014-09-01,0677,2.07
2014-09-02,0677,2.14
2014-09-03,0677,2.03333333333
2014-09-04,0677,1.92666666667
2014-09-05,0677,1.82
2014-09-06,0677,1.71333333333
2014-09-07,0677,1.60666666667
2014-09-08,0677,1.5
2014-09-09,0677,1.52333333333
2014-09-10,0677,1.54666666667
2014-09-11,0677,1.57
2014-09-12,0677,1.59333333333
2014-09-13,0677,1.61666666667
2014-09-14,0677,1.64
2014-09-15,0677,1.92333333333
2014-09-16,0677,2.20666666667
2014-09-17,0677,2.49
2014-09-18,0677,2.77333333333
2014-09-19,0677,3.05666666667
2014-09-20,0677,3.34
2014-09-21,0677,2.99333333333
