site,data_status,action_code,datetime,parameter,duration,frequency,value,unit,qc,poc,lat,lon,GISDatum,elev,method_code,mpc,mpc_value,uncertainty,qualifiers
840480291052,1,10,20130104T0000-0600,14129,1440,8640,.002,105,0,1,29.342,-98.472,WGS84,176,192,1,.00006,,SQ
840480291052,1,10,20130122T0000-0600,14129,1440,8640,.023,105,0,1,29.342,-98.472,WGS84,176,192,1,.00006,,
840480291052,1,10,20130116T0000-0600,14129,1440,8640,.005,105,0,1,29.342,-98.472,WGS84,176,192,1,.00006,,SQ
840480291052,1,10,20130215T0000-0600,14129,1440,8640,.003,105,0,1,29.342,-98.472,WGS84,176,192,1,.00006,,SQ
840480291052,1,10,20130203T0000-0600,14129,1440,8640,.01,105,0,1,29.342,-98.472,WGS84,176,192,1,.00006,,
840480291052,1,10,20130329T0000-0600,14129,1440,8640,.043,105,0,1,29.342,-98.472,WGS84,176,192,1,.00006,,
840480291052,1,10,20130323T0000-0600,14129,1440,8640,.008,105,0,1,29.342,-98.472,WGS84,176,192,1,.00006,,SQ
840480291052,1,10,20130227T0000-0600,14129,1440,8640,.004,105,0,1,29.342,-98.472,WGS84,176,192,1,.00006,,SQ
840480291052,1,10,20130110T0000-0600,14129,1440,8640,.008,105,0,1,29.342,-98.472,WGS84,176,192,1,.00006,,SQ
840480291052,1,10,20130221T0000-0600,14129,1440,8640,.003,105,0,1,29.342,-98.472,WGS84,176,192,1,.00006,,SQ
840480291052,1,10,20130209T0000-0600,14129,1440,8640,.006,105,0,1,29.342,-98.472,WGS84,176,192,1,.00006,,SQ
840480291052,1,10,20130305T0000-0600,14129,1440,8640,.003,105,0,1,29.342,-98.472,WGS84,176,192,1,.00006,,SQ
840480291052,1,10,20130311T0000-0600,14129,1440,8640,.003,105,0,1,29.342,-98.472,WGS84,176,192,1,.00006,,SQ
840480291052,1,10,20130128T0000-0600,14129,1440,8640,.008,105,0,1,29.342,-98.472,WGS84,176,192,1,.00006,,SQ
840480291052,1,10,20130317T0000-0600,14129,1440,8640,.016,105,0,1,29.342,-98.472,WGS84,176,192,1,.00006,,
