site,data_status,action_code,datetime,parameter,duration,frequency,value,unit,qc,poc,lat,lon,GISDatum,elev,method_code,mpc,mpc_value,uncertainty,qualifiers
840480290060,1,10,20130802T0000-0600,81102,1440,0,21,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20131019T0000-0600,81102,1440,0,7,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130925T0000-0600,81102,1440,0,39,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130925T0000-0600,81102,1440,0,23,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130826T0000-0600,81102,1440,0,13,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130826T0000-0600,81102,1440,0,5,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20131124T0000-0600,81102,1440,0,10,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20131124T0000-0600,81102,1440,0,8,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130727T0000-0600,81102,1440,0,20,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130727T0000-0600,81102,1440,0,20,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20131007T0000-0600,81102,1440,0,26,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20131007T0000-0600,81102,1440,0,15,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130703T0000-0600,81102,1440,0,29,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130703T0000-0600,81102,1440,0,29,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130721T0000-0600,81102,1440,0,17,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130721T0000-0600,81102,1440,0,18,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20131218T0000-0600,81102,1440,0,27,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20131218T0000-0600,81102,1440,0,17,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20131230T0000-0600,81102,1440,0,12,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20131230T0000-0600,81102,1440,0,6,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20131212T0000-0600,81102,1440,0,28,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20131212T0000-0600,81102,1440,0,31,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130814T0000-0600,81102,1440,0,24,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130814T0000-0600,81102,1440,0,23,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20131031T0000-0600,81102,1440,0,16,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20131031T0000-0600,81102,1440,0,6,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130820T0000-0600,81102,1440,0,22,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130820T0000-0600,81102,1440,0,19,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130715T0000-0600,81102,1440,0,14,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130715T0000-0600,81102,1440,0,14,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130913T0000-0600,81102,1440,0,22,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130913T0000-0600,81102,1440,0,24,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130907T0000-0600,81102,1440,0,13,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130907T0000-0600,81102,1440,0,9,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130808T0000-0600,81102,1440,0,73,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130808T0000-0600,81102,1440,0,73,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290053,1,10,20131224T0000-0600,81102,1440,0,12,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20131206T0000-0600,81102,1440,0,8,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20131206T0000-0600,81102,1440,0,4,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20131112T0000-0600,81102,1440,0,22,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20131112T0000-0600,81102,1440,0,9,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130901T0000-0600,81102,1440,0,18,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130901T0000-0600,81102,1440,0,17,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130919T0000-0600,81102,1440,0,18,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130919T0000-0600,81102,1440,0,15,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130709T0000-0600,81102,1440,0,17,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130709T0000-0600,81102,1440,0,12,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20131013T0000-0600,81102,1440,0,9,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20131013T0000-0600,81102,1440,0,3,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20131118T0000-0600,81102,1440,0,22,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20131118T0000-0600,81102,1440,0,24,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20131001T0000-0600,81102,1440,0,17,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290060,1,10,20131106T0000-0600,81102,1440,0,17,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290060,1,10,20131025T0000-0600,81102,1440,0,24,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20131025T0000-0600,81102,1440,0,24,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20131130T0000-0600,81102,1440,0,17,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20131130T0000-0600,81102,1440,0,11,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20131019T0000-0600,81102,1440,0,9,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130802T0000-0600,81102,1440,0,20,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130516T0000-0600,81102,1440,8640,30,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130516T0000-0600,81102,1440,8640,29,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130603T0000-0600,81102,1440,8640,28,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130603T0000-0600,81102,1440,8640,25,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130609T0000-0600,81102,1440,8640,15,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130609T0000-0600,81102,1440,8640,12,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130128T0000-0600,81102,1440,8640,22,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290060,1,10,20130410T0000-0600,81102,1440,8640,24,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130410T0000-0600,81102,1440,8640,18,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130615T0000-0600,81102,1440,8640,24,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130615T0000-0600,81102,1440,8640,23,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130311T0000-0600,81102,1440,8640,18,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130311T0000-0600,81102,1440,8640,8,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130305T0000-0600,81102,1440,8640,36,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130305T0000-0600,81102,1440,8640,29,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130209T0000-0600,81102,1440,8640,17,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130209T0000-0600,81102,1440,8640,12,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130528T0000-0600,81102,1440,8640,26,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130528T0000-0600,81102,1440,8640,21,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130221T0000-0600,81102,1440,8640,28,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130221T0000-0600,81102,1440,8640,21,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130404T0000-0600,81102,1440,8640,5,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130404T0000-0600,81102,1440,8640,6,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130227T0000-0600,81102,1440,8640,21,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130227T0000-0600,81102,1440,8640,19,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130422T0000-0600,81102,1440,8640,30,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130422T0000-0600,81102,1440,8640,23,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130323T0000-0600,81102,1440,8640,32,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130323T0000-0600,81102,1440,8640,20,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130329T0000-0600,81102,1440,8640,22,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130329T0000-0600,81102,1440,8640,18,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130215T0000-0600,81102,1440,8640,15,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130215T0000-0600,81102,1440,8640,15,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130522T0000-0600,81102,1440,8640,32,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130522T0000-0600,81102,1440,8640,27,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290053,1,10,20130116T0000-0600,81102,1440,8640,12,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130104T0000-0600,81102,1440,8640,6,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130104T0000-0600,81102,1440,8640,4,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130504T0000-0600,81102,1440,8640,27,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130504T0000-0600,81102,1440,8640,19,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130416T0000-0600,81102,1440,8640,37,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130416T0000-0600,81102,1440,8640,33,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130317T0000-0600,81102,1440,8640,25,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130317T0000-0600,81102,1440,8640,19,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130428T0000-0600,81102,1440,8640,13,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130428T0000-0600,81102,1440,8640,10,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
840480290060,1,10,20130510T0000-0600,81102,1440,8640,17,001,0,1,29.422183,-98.505381,WGS84,210,141,1,4,,
840480290053,1,10,20130510T0000-0600,81102,1440,8640,11,001,0,2,29.587741,-98.312512,WGS84,226,141,1,4,,
