id,42401_0069,42603_0069,43205_0069,43206_0069,43218_0069,43233_0069,44201_0069,45109_0069,45201_0069,45202_0069,45203_0069,45204_0069,45207_0069,45208_0069,45220_0069,61103_0069,61104_0069,63301_0069,88101_0069,44201_0069_t+20
9413,0.556597222222,22.4026251526,0.62,0.4,0.142857142857,0.104285714286,0.0232804705215,0.392857142857,0.817142857143,1.97571428571,0.225714285714,0.228571428571,0.767142857143,0.217142857143,0.0571428571429,5.11428571429,149.857142857,0.782857142857,14.1,0.0212206632653
9414,0.608597883598,25.6367521367,0.58,0.4,0.214285714286,0.108571428571,0.024933106576,0.742857142857,0.668571428571,1.79857142857,0.214285714286,0.292857142857,0.235714285714,0.278571428571,0.0142857142857,4.11111111111,238.111111111,1.04,16.9,0.0214520975057
9415,0.446795525903,26.7258777074,0.48125,0.4,0.1375,0.14,0.0249902210884,0.5725,0.61875,1.78875,0.26875,0.2025,0.12375,0.5,0.10125,5.65,243.875,0.70875,16.3666666667,0.0241349206349
9416,0.478224642421,27.7948432246,0.415714285714,0.4,0.114285714286,0.121428571429,0.0244386337868,0.504285714286,1.03428571429,1.21571428571,0.148571428571,0.13,0.185714285714,0.365714285714,0.0271428571429,8.65714285714,276.714285714,0.594285714286,15.8333333333,0.0225097789116
9417,0.548640327926,19.1791998983,0.651428571429,0.4,0.157142857143,0.141428571429,0.0244958900227,0.588571428571,0.494285714286,1.78428571429,0.245714285714,0.232857142857,0.322857142857,0.427142857143,0.0857142857143,5.17777777778,141.0,1.16666666667,15.3,0.0252014739229
9418,0.68404380342,20.3232221049,0.425,0.4,0.1625,0.10125,0.0229223356009,0.6625,0.755,1.085,0.1825,0.18125,0.10875,0.19875,0.00875,3.425,142.875,1.2175,14.2666666667,0.0205679012346
9419,0.541410038374,26.6559347877,0.5,0.4,0.114285714286,0.15,0.0223449546485,0.401428571429,0.672857142857,2.00571428571,0.238571428571,0.188571428571,0.174285714286,0.0957142857143,0.0157142857143,2.95714285714,112.142857143,1.17714285714,13.2333333333,0.0206111111111
9420,0.582735369789,22.1805408945,0.484285714286,0.4,0.214285714286,0.0785714285714,0.0244516723356,0.49,0.402857142857,1.30857142857,0.18,0.187142857143,0.0314285714286,0.105714285714,0.0,4.11111111111,163.888888889,0.997777777778,12.2,0.0206543209877
9421,0.47352651317,21.8344553914,0.295,0.4,0.1125,0.12375,0.0218497732426,0.29875,0.63625,0.91125,0.1325,0.07875,0.105,0.595,0.05625,5.3375,180.375,0.975,11.6,0.0206975308642
9422,0.656854286586,22.0596850809,0.511428571429,0.4,0.114285714286,0.125714285714,0.0238652210884,0.688571428571,0.858571428571,1.23142857143,0.155714285714,0.178571428571,0.0785714285714,0.192857142857,0.0342857142857,3.81428571429,156.285714286,1.05285714286,11.0,0.0207407407407
9423,0.407413439735,25.4934465165,0.76,0.4,0.128571428571,0.0557142857143,0.0216862244898,0.758571428571,0.755714285714,2.72857142857,0.324285714286,0.294285714286,0.0628571428571,0.214285714286,0.0257142857143,6.91111111111,134.111111111,0.697777777778,10.4,0.0207839506173
9424,0.640893838304,24.6764993354,0.46125,0.4,0.125,0.1025,0.0251264172335,1.0475,0.4775,2.03125,0.3275,0.3175,0.05875,0.33625,0.00875,8.0375,68.875,1.16,10.7666666667,0.0208271604938
9425,0.447493894994,17.9447278912,0.441428571429,0.4,0.142857142857,0.175714285714,0.023735515873,0.515714285714,0.612857142857,1.71285714286,0.185714285714,0.191428571429,0.00857142857143,0.322857142857,0.0,3.37142857143,169.0,0.482857142857,11.1333333333,0.0208703703704
9426,0.659768009768,25.1199829932,0.451428571429,0.4,0.128571428571,0.182857142857,0.0197638888889,0.92,0.731428571429,1.28571428571,0.172857142857,0.248571428571,0.304285714286,0.427142857143,0.09,3.36666666667,156.444444444,0.942222222222,11.5,0.0209135802469
9427,0.486996336996,20.6488095238,0.58625,0.4,0.15,0.15375,0.0191712018141,0.51375,0.75,1.93625,0.275,0.1825,0.1275,0.2175,0.04125,2.3875,176.625,0.75625,10.6333333333,0.0209567901235
9428,0.640583028083,23.8174603175,0.437142857143,0.4,0.128571428571,0.182857142857,0.020499829932,0.318571428571,0.298571428571,1.48285714286,0.18,0.154285714286,0.0828571428571,0.358571428571,0.0514285714286,4.54285714286,203.857142857,0.88,9.76666666667,0.021
9429,0.711599511599,20.1282596372,0.272857142857,0.4,0.242857142857,0.302857142857,0.0234715136054,0.258571428571,0.442857142857,1.06285714286,0.137142857143,0.0857142857143,0.232857142857,0.172857142857,0.04,4.23333333333,137.555555556,0.804444444444,8.9,0.0191428571429
9430,0.614209401709,24.2930839002,0.36125,0.4,0.1375,0.14125,0.0241050170068,0.35,0.74625,0.88375,0.115,0.205,0.57875,0.435,0.1025,2.3375,150.0,0.61125,8.33333333333,0.0223333333333
9431,0.477472527473,22.9841269841,0.607142857143,0.4,0.157142857143,0.0442857142857,0.026335600907,0.66,0.885714285714,2.06285714286,0.238571428571,0.18,0.201428571429,0.712857142857,0.0385714285714,3.01428571429,175.571428571,0.637142857143,7.76666666667,0.013875
9432,0.627976190476,27.0538548753,0.627142857143,0.4,0.114285714286,0.102857142857,0.0238227040816,0.484285714286,0.895714285714,1.63714285714,0.185714285714,0.195714285714,0.0457142857143,0.315714285714,0.0385714285714,2.74444444444,175.777777778,1.10111111111,7.2,0.0175
9433,0.420115995116,27.6717120181,0.605,0.455555555556,0.1375,0.11375,0.0212206632653,0.535,0.52375,1.89125,0.22125,0.1925,0.295,0.24375,0.01375,4.1875,235.375,0.775,14.5666666667,0.0202222222222
9434,0.558742368742,20.9592120181,0.398571428571,0.511111111111,0.1,0.134285714286,0.0214520975057,0.584285714286,0.837142857143,2.34857142857,0.141428571429,0.185714285714,0.108571428571,0.355714285714,0.0185714285714,4.2,296.142857143,0.737142857143,21.9333333333,0.017125
9435,0.569719169719,24.6019274377,0.608571428571,0.566666666667,0.171428571429,0.265714285714,0.0241349206349,0.81,0.717142857143,1.40571428571,0.201428571429,0.295714285714,0.244285714286,0.32,0.0214285714286,6.11111111111,152.555555556,0.663333333333,29.3,0.0244285714286
9436,0.522909035409,23.7409863946,0.60875,0.622222222222,0.1,0.10625,0.0225097789116,0.535,0.48625,1.64125,0.235,0.21,0.3525,0.1475,0.0625,8.3375,221.5,0.805,28.0333333333,0.0218888888889
