Index,1_WD_COS,1_WD_SIN,1_NO,1_NH3,1_SO2,1_FOR,1_NO2,1_BEN,1_TOL,1_pXY,1_mXY,1_123TMB,1_oXY,1_ETB,1_STY,1_CO2,1_CH4,1_H2S,1_CO,1_WS,1_TEMP,1_ATP,1_SR,1_o3ppb,8hro3ppb
12526,-0.961,0.276,8.000,3.900,18.000,8.800,80.400,1.700,8.800,3.400,6.000,10.300,2.700,32.800,9.300,1038.900,1.700,4.900,0.600,4.900,28.000,100.800,1.400,23.900,37.056
12527,-0.982,0.187,5.200,2.000,27.700,5.600,55.200,2.000,5.900,2.600,4.200,13.300,2.400,25.900,13.400,908.500,1.600,4.800,0.500,4.800,27.400,100.700,1.400,33.640,34.124
12528,-0.998,-0.056,3.400,1.800,63.600,6.300,58.000,1.200,4.800,2.600,2.700,16.500,3.300,35.700,15.800,845.700,1.400,6.700,0.400,3.300,26.200,100.700,1.300,27.180,29.505
12529,-0.954,-0.301,14.500,3.100,37.700,6.600,83.400,0.800,3.600,2.800,3.900,21.000,1.800,11.600,11.000,943.900,1.400,8.000,0.400,2.000,24.900,100.700,1.300,13.480,24.648
12530,-0.999,-0.040,9.000,2.200,23.000,7.200,72.600,2.300,1.900,1.700,4.600,19.600,2.800,18.800,8.800,1050.800,1.500,7.300,0.400,1.700,24.600,100.600,1.300,17.730,21.994
12531,-0.977,0.211,12.200,4.800,19.100,11.400,68.300,0.600,5.100,1.300,4.300,20.700,3.900,24.500,5.200,1074.400,2.100,5.900,0.400,1.800,23.900,100.600,1.300,12.880,22.671
12532,-0.932,0.363,15.900,2.100,21.200,10.200,74.500,1.100,7.100,1.500,6.300,22.000,2.600,28.600,6.000,1029.800,2.200,6.100,0.500,2.200,23.200,100.600,2.100,9.840,20.511
12533,-0.999,0.049,107.400,3.200,25.400,11.200,89.100,3.800,20.000,2.600,10.200,21.700,3.500,30.400,6.800,1127.800,2.200,7.800,1.300,1.500,23.200,100.600,60.000,6.630,18.160
12534,-0.996,0.087,220.600,3.600,24.200,6.700,93.700,4.600,20.300,4.000,9.500,18.700,4.500,19.900,11.500,1015.300,2.200,8.400,1.700,1.200,24.400,100.700,171.400,6.860,16.030
12535,-0.947,-0.321,219.600,2.000,20.700,10.100,94.100,3.800,16.700,4.600,9.400,17.000,4.300,34.100,8.100,1078.200,1.600,7.400,1.700,1.100,27.100,100.700,362.000,8.880,12.935
12536,-0.791,0.612,189.600,4.700,16.100,19.600,120.000,4.600,20.000,4.600,9.800,22.400,5.300,27.300,4.900,1060.900,1.600,6.400,1.800,1.200,29.900,100.800,474.700,10.880,10.898
12537,-0.230,0.973,203.000,9.400,19.800,31.400,230.500,8.800,49.400,7.100,13.200,13.100,8.800,76.600,5.500,1053.800,1.500,7.100,2.900,1.200,32.600,100.800,448.800,14.490,11.024
12538,0.598,0.802,94.500,6.500,24.400,27.000,146.800,4.600,19.400,3.800,10.600,20.300,5.700,48.900,6.200,1142.700,1.500,6.200,1.600,1.900,32.600,100.800,442.500,18.800,11.158
12539,0.593,0.805,63.100,5.900,29.300,15.900,115.600,3.100,12.200,4.200,9.000,15.900,3.100,24.800,8.400,941.400,1.600,4.500,1.200,2.000,33.400,100.700,563.000,26.990,12.921
12540,0.546,0.838,55.400,4.300,53.600,17.500,128.000,3.700,13.000,4.700,5.700,16.900,2.800,26.100,9.100,899.800,1.600,4.500,1.000,2.400,33.400,100.700,447.500,24.670,14.775
12541,0.559,0.829,39.300,3.800,52.500,20.600,97.500,3.800,12.300,3.500,7.200,15.100,6.000,63.900,12.300,901.000,1.400,4.600,0.900,2.700,33.400,100.600,759.600,37.510,18.635
12542,0.434,0.901,30.200,4.300,57.000,16.200,77.300,3.400,8.300,3.900,7.200,16.900,5.300,66.200,12.700,859.500,1.500,4.600,0.900,3.600,33.800,100.600,601.700,40.680,22.863
12543,0.131,0.991,26.300,2.400,46.100,8.600,68.500,2.000,6.600,4.500,5.000,15.700,2.800,39.800,13.300,765.000,1.400,4.100,0.800,3.600,34.200,100.500,444.900,38.810,26.604
12544,-0.016,1.000,22.200,2.700,25.800,7.800,65.100,1.900,6.600,3.800,7.000,14.400,3.900,22.200,9.000,969.800,1.500,3.700,0.800,4.100,33.000,100.500,241.400,39.450,30.175
