,principal_comp_0,principal_comp_1,principal_comp_2,principal_comp_3,principal_comp_4,principal_comp_5,principal_comp_6,principal_comp_7,principal_comp_8,principal_comp_9,principal_comp_10,principal_comp_11,principal_comp_12,target_t+3,target_t+0
0,-0.829204082489,-0.745409369469,1.50456762314,0.351942658424,1.7930958271,1.21109867096,-0.978980004787,0.684332668781,-0.0124234221876,0.751824021339,1.98362493515,-1.0100287199,2.14707016945,0.033,0.027
1,-0.829510986805,-0.565197050571,1.55549693108,-1.09787559509,-0.153896450996,-1.11969065666,-0.603114128113,-0.0674835816026,-0.0912100449204,1.16404128075,-1.10478973389,-0.499164193869,0.133517369628,0.031,0.045
2,-0.921707570553,1.01590359211,0.646249949932,-1.01192080975,0.492883771658,0.803772926331,-0.892969548702,-1.48211991787,-0.209094405174,0.682073295116,0.879623770714,-0.0135207818821,-0.904708623886,0.049,0.028
3,-0.895953416824,1.10001277924,0.650544404984,-0.39219647646,0.170804381371,1.46109056473,-1.05045163631,-0.0696500837803,-0.218940138817,3.02914428711,-0.663339316845,-0.348734349012,-1.12908196449,0.046,0.033
4,-0.782263159752,-0.634870171547,1.36267066002,-0.142186775804,-0.231237724423,-0.525155186653,-1.01803553104,-0.236861333251,-0.909905672073,0.221658155322,0.560577213764,-0.354923725128,1.12194812298,0.02,0.031
5,-0.794493913651,-0.912445247173,1.47167289257,-0.380927920341,-0.615107536316,-0.951115608215,-0.450920164585,0.0262923557311,-0.827261209488,2.00596737862,-1.53468465805,-0.409503310919,-0.870482087135,0.028,0.049
6,-0.829665541649,-0.654350399971,1.47094368935,-0.604753673077,0.425518363714,-1.19393885136,-0.595980882645,0.788403868675,-0.419165372849,2.23572635651,-0.172153264284,-0.775092065334,-0.908511638641,0.027,0.046
7,-0.882182717323,1.20097386837,-1.49415493011,0.284200817347,-0.283211380243,0.697452604771,-1.3578363657,0.0984744057059,-0.650712311268,-0.435612857342,0.29200398922,-0.957958221436,1.7731038332,0.023,0.02
8,-0.89240270853,0.935228765011,-0.8468542099,-0.0711223036051,0.594049990177,-0.4493085742,-1.03487694263,0.917053282261,-0.803941130638,-0.484933644533,0.458042889833,-0.409709662199,0.0878623872995,0.04,0.028
9,-0.941205859184,0.663543760777,-1.53812301159,-0.55232745409,0.205899089575,-0.15341681242,-1.00613927841,-0.406090736389,-1.03382730484,0.05804862082,0.0437218807638,-0.406041353941,1.1795924902,0.036,0.027
10,-0.831246256828,-1.44274377823,-0.513184428215,0.201849669218,0.225631043315,-0.0971648693085,-1.39194619656,0.157518014312,-0.716945111752,0.773590326309,1.90074300766,-0.780622839928,1.50995469093,0.044,0.023
11,-0.846581876278,-1.10687100887,0.782469451427,-0.160972356796,0.106974557042,1.35684502125,-0.718972027302,0.117616020143,-0.836157679558,1.95407795906,-0.628622233868,-0.291989415884,-0.401338428259,0.036,0.04
12,-0.889008760452,1.35572123528,0.409801930189,-0.928059279919,0.170782968402,0.873215198517,-0.886319637299,1.03824651241,-0.83577811718,0.277797073126,1.09150564671,-0.54376322031,0.293448776007,0.024,0.036
13,-0.787898004055,-1.11062884331,0.627647399902,-0.244689762592,-0.00621642917395,-0.538578212261,-0.805531799793,2.13669323921,-0.411750227213,1.48280370235,4.06534767151,-1.99982273579,2.72321128845,0.041,0.044
14,-0.858487844467,1.35852015018,-0.211170077324,-0.350300073624,-0.676013827324,-0.159625604749,-0.795703113079,0.227742612362,-0.785201966763,0.0253292657435,0.661974132061,-0.283993065357,-0.389548897743,0.044,0.036
15,-0.963482499123,0.586319327354,-1.52662861347,-1.07168984413,0.0131295574829,0.992116034031,-1.16136360168,-0.971410155296,-0.948810338974,-0.279917836189,0.656590163708,-0.431775778532,1.7681787014,0.037,0.024
16,-0.793766260147,0.984130084515,2.54554653168,-0.711953222752,-0.12526267767,-0.564680576324,-0.506456255913,-0.232936486602,-0.766393721104,-0.28358694911,0.585321903229,-0.698365807533,0.0422296375036,0.056,0.041
17,-0.748501300812,1.78063523769,2.59296679497,0.274117141962,-0.44937235117,-0.82045686245,-0.367471396923,0.26811632514,-0.529015243053,0.813320815563,1.17823910713,-0.894482493401,-0.790069401264,0.042,0.044
18,-0.815197467804,0.158184349537,1.12116467953,-0.00173322076444,0.159535989165,-1.2524753809,-0.679921150208,-0.0457440465689,-0.891517341137,1.07315278053,-0.042860865593,-0.8518627882,0.93434882164,0.043,0.037
19,-0.746318042278,-0.433272302151,1.26984584332,0.340810835361,-1.34195947647,-0.85386300087,0.0797257423401,0.0508022792637,-0.55606508255,0.482084006071,0.787149608135,-0.965746998787,0.0651555359364,0.037,0.056
20,-0.83230817318,1.20047271252,1.2357789278,-0.347122132778,-0.0475807338953,-0.687868595123,-0.417231380939,0.100480630994,-0.593128323555,0.294659554958,1.17623209953,-0.398431122303,-0.905605137348,0.025,0.042
