,principal_comp_0,principal_comp_1,principal_comp_2,principal_comp_3,principal_comp_4,principal_comp_5,principal_comp_6,principal_comp_7,principal_comp_8,principal_comp_9,target_t+3,target_t+0
0,-0.808386027813,1.25658071041,1.78575623035,-1.20338058472,0.727705299854,2.10809850693,2.19124937057,1.74535775185,0.302882492542,0.370135039091,0.033,0.027
1,-0.797584652901,1.32971680164,-1.0839278698,-0.495763838291,-0.0284085348248,-0.337556988001,0.125204324722,0.348712444305,0.557181298733,-0.514907360077,0.031,0.045
2,-0.821224868298,0.866337835789,0.852710664272,-0.230602920055,-1.3512969017,1.16731631756,-0.978119552135,0.896472334862,0.854612410069,4.81718540192,0.049,0.028
3,-0.8342705369,0.897534787655,1.65536606312,-0.318349152803,-0.284343034029,1.06375801563,-0.937311768532,0.801918208599,2.40903568268,1.59646081924,0.046,0.033
4,-0.800082564354,1.13891947269,-0.382586181164,-0.792032063007,-0.587921142578,0.354007840157,1.10616576672,1.42491722107,1.18353271484,-0.177666053176,0.02,0.031
5,-0.808899343014,1.16299569607,-0.95703369379,-0.194223806262,-0.0797363743186,-0.458384275436,-0.738813102245,0.958405315876,0.46980586648,1.24180161953,0.028,0.049
6,-0.802505433559,1.22834932804,-0.89412021637,-0.939190983772,0.881504714489,0.952897846699,-0.749694824219,1.74221670628,-0.927403748035,-0.533430814743,0.027,0.046
7,-0.877341926098,-1.12248146534,0.93974095583,-1.03119921684,-0.623081743717,0.0419301278889,1.92504036427,1.86028766632,-0.0724118128419,-0.547425806522,0.023,0.02
8,-0.85813421011,-0.575148165226,0.0198484826833,-1.5513600111,0.58880507946,0.0977229624987,0.155292749405,1.26937603951,0.951151490211,-0.969875514507,0.04,0.028
9,-0.885125875473,-1.32198894024,0.0583672560751,-0.889229476452,-0.592082977295,-0.0126161361113,1.23643159866,1.59762692451,0.214007213712,-0.266959786415,0.036,0.027
10,-0.86426192522,-0.8750218153,0.252730876207,-1.27061057091,-0.311711043119,1.84731924534,1.56523418427,2.40551352501,0.0212143473327,-1.31893408298,0.044,0.023
11,-0.853597044945,0.450140833855,1.45937001705,-0.053213275969,-0.0641825795174,0.287565141916,-0.280191272497,1.23076891899,0.0585285834968,-0.477745056152,0.036,0.04
12,-0.835613548756,0.730302631855,1.08926391602,-0.808647453785,0.64801800251,1.00730907917,0.339522093534,1.72118341923,0.534175038338,0.757258713245,0.024,0.036
13,-0.838109493256,0.307041883469,-0.214864119887,-1.29121243954,1.62336707115,4.12454652786,2.87198495865,2.66578507423,0.859372317791,0.84701281786,0.041,0.044
14,-0.842575609684,0.142393395305,-0.101278208196,-0.628503441811,-0.297839701176,0.495808243752,-0.3281019032,-0.29839387536,-0.200367927551,-1.35827970505,0.044,0.036
15,-0.895187795162,-1.33993136883,1.01809120178,-0.444405704737,-1.23578155041,0.318159282207,1.72404181957,-0.577988445759,-0.763887584209,-0.305137425661,0.037,0.024
16,-0.753688275814,2.6948196888,-0.537478208542,-0.455261081457,-0.293055564165,0.277510672808,0.0591708235443,-1.02689623833,0.516996920109,1.39143252373,0.056,0.041
17,-0.740518987179,2.96408987045,-0.713310420513,-0.544052660465,0.0123110581189,1.42455244064,-0.581019937992,-0.297842204571,-1.15056073666,-0.720922529697,0.042,0.044
18,-0.797224581242,1.11521661282,-0.992067992687,-0.925832569599,-0.082212343812,0.430227458477,1.11003065109,-0.326689720154,-0.287374198437,0.844157874584,0.043,0.037
