site,data_status,action_code,datetime,parameter,duration,frequency,value,unit,qc,poc,lat,lon,GISDatum,elev,method_code,mpc,mpc_value,uncertainty,qualifiers
840480290677,0,10,20140809T0000-0600,43206,1440,0,0,078,0,1,29.423944,-98.580499,WGS84,221,174,1,.1,,V
840480290677,0,10,20141113T0000-0600,43206,1440,0,.56,078,0,1,29.423944,-98.580499,WGS84,221,174,1,.1,,V
840480290677,0,10,20140716T0000-0600,43206,1440,0,.38,078,0,1,29.423944,-98.580499,WGS84,221,174,1,.1,,V
840480290677,0,10,20141125T0000-0600,43206,1440,0,2.72,078,0,1,29.423944,-98.580499,WGS84,221,174,1,.1,,V
840480290677,0,10,20140129T0000-0600,43206,1440,0,2.26,078,0,1,29.423944,-98.580499,WGS84,221,174,1,.1,,V
840480290677,0,10,20140511T0000-0600,43206,1440,0,.52,078,0,1,29.423944,-98.580499,WGS84,221,174,1,.1,,V
840480290677,0,10,20140902T0000-0600,43206,1440,0,.44,078,0,1,29.423944,-98.580499,WGS84,221,174,1,.1,,V
840480290677,0,10,20141107T0000-0600,43206,1440,0,1.34,078,0,1,29.423944,-98.580499,WGS84,221,174,1,.1,,V
840480290677,0,10,20140622T0000-0600,43206,1440,0,.36,078,0,1,29.423944,-98.580499,WGS84,221,174,1,.1,,V
840480290677,0,10,20141207T0000-0600,43206,1440,0,1.32,078,0,1,29.423944,-98.580499,WGS84,221,174,1,.1,,V
840480290677,0,10,20141219T0000-0600,43206,1440,0,1.2,078,0,1,29.423944,-98.580499,WGS84,221,174,1,.1,,V
840480290677,0,10,20141225T0000-0600,43206,1440,0,5.4,078,0,1,29.423944,-98.580499,WGS84,221,174,1,.1,,V
840480290677,0,10,20140105T0000-0600,43206,1440,0,3.56,078,0,1,29.423944,-98.580499,WGS84,221,174,1,.1,,V
END OF FILE
