date,42401_0059,42603_0032,42603_0059,43205_0677,43206_0677,43218_0677,43233_0677,43801_0677,43802_0677,43803_0677,43804_0677,43811_0677,43813_0677,43814_0677,43815_0677,43817_0677,43818_0677,43819_0677,43820_0677,43823_0677,43824_0677,43826_0677,43829_0677,43830_0677,43831_0677,43843_0677,43860_0677,44201_0032,44201_0052,44201_0059,45109_0677,45201_0677,45202_0677,45203_0677,45204_0677,45207_0677,45208_0677,45220_0677,45801_0677,61103_0032,61103_0051,61103_0052,61103_0059,61103_0676,61103_0677,61104_0032,61104_0051,61104_0052,61104_0059,61104_0676,61104_0677,63301_0052,68105_0032,68105_0059,68105_1052,68108_0032,68108_0059,68108_1052,88101_0032,88101_0059
2013-01-01,0.491666666667,8.80416666667,3.2375,,,,,,,,,,,,,,,,,,,,,,,,,0.0125833333333,0.0280416666667,0.0427916666667,,,,,,,,,,3.7,2.89583333333,6.12083333333,4.72916666667,4.28333333333,4.525,151.529166667,140.204166667,151.475,84.1541666667,138.4875,156.208333333,0.0,,,,,,,,
2013-01-02,0.555,4.6875,2.85833333333,,,,,,,,,,,,,,,,,,,,,,,,,0.0223333333333,0.0290416666667,0.0496666666667,,,,,,,,,,5.0,5.22916666667,8.2125,5.96666666667,7.29166666667,4.88333333333,144.5125,154.525,102.9625,146.841666667,144.845833333,109.025,0.0,,,,,,,,
2013-01-03,0.483333333333,2.1,1.92916666667,,,,,,,,,,,,,,,,,,,,,,,,,0.0233333333333,0.0185,0.0438333333333,,,,,,,,,,6.85833333333,3.3875,6.29583333333,5.3875,4.85,3.69166666667,174.158333333,196.404166667,220.7375,165.295833333,130.95,130.283333333,0.0,,,,,,,,
2013-01-04,0.4875,5.97083333333,4.12083333333,2.16,2.06,0.36,0.48,0.62,0.1,0.03,0.1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0162083333333,0.0247083333333,0.041125,2.08,2.04,3.71,0.0,0.88,0.36,1.26,0.16,0.0,4.80833333333,1.925,4.51666666667,4.96666666667,5.475,3.77916666667,164.954166667,242.116666667,121.595833333,190.4,162.491666667,109.3875,0.0,19.0,29.2,31.1,754.0,745.0,745.0,6.3,10.4
2013-01-05,0.486956521739,3.175,2.3125,,,,,,,,,,,,,,,,,,,,,,,,,0.018347826087,0.019347826087,0.0484347826087,,,,,,,,,,2.77083333333,2.175,5.57083333333,6.68333333333,5.5125,4.375,197.175,164.854166667,134.395833333,143.358333333,140.691666667,146.775,0.0,,,,,,,,
2013-01-06,0.545833333333,5.10909090909,2.51818181818,,,,,,,,,,,,,,,,,,,,,,,,,0.01325,0.0237916666667,0.0391666666667,,,,,,,,,,2.9875,3.1625,5.15,5.24166666667,6.0375,5.30833333333,120.375,140.270833333,146.141666667,153.683333333,122.704166667,149.829166667,0.0,,,,,,,,
2013-01-07,0.525,3.39545454545,2.6375,,,,,,,,,,,,,,,,,,,,,,,,,0.0215833333333,0.0213333333333,0.0354166666667,,,,,,,,,,3.07083333333,2.66666666667,6.12083333333,5.70833333333,5.4125,6.3125,137.325,179.9375,97.3125,126.395833333,120.858333333,130.8375,0.0,,,,,,,,
2013-01-08,0.5125,6.23684210526,2.6125,,,,,,,,,,,,,,,,,,,,,,,,,0.0197727272727,0.0193333333333,0.0469166666667,,,,,,,,,,3.59090909091,4.45833333333,6.03333333333,5.0625,7.22916666667,6.89583333333,183.845454545,163.2,97.9583333333,132.654166667,172.741666667,173.8875,0.0,,,,,,,,
2013-01-09,0.439130434783,7.85652173913,2.60869565217,,,,,,,,,,,,,,,,,,,,,,,,,0.02175,0.0185416666667,0.0460454545455,,,,,,,,,,4.2875,4.325,5.81666666667,5.94166666667,4.35,5.72083333333,180.520833333,114.275,187.491666667,163.254166667,129.158333333,124.8625,0.0,,,,,,,,
2013-01-10,0.519047619048,5.465,4.46363636364,0.6,1.14,0.0,0.16,0.67,0.05,0.01,0.11,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0169545454545,0.0225833333333,0.036375,0.72,0.0,1.75,0.24,0.24,0.0,0.36,0.08,0.0,5.65833333333,2.42083333333,5.69583333333,4.1,5.37916666667,3.22083333333,106.675,106.283333333,138.5125,143.633333333,150.195833333,200.875,0.0,29.7,27.6,30.0,744.0,734.0,745.0,16.3,9.3
