site,data_status,action_code,datetime,parameter,duration,frequency,value,unit,qc,poc,lat,lon,GISDatum,elev,method_code,mpc,mpc_value,uncertainty,qualifiers
840480290059,1,10,20110801T0000-0600,88101,1440,8640,5.1,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,1,10,20110801T0000-0600,88101,1440,8640,4.7,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,1,10,20111030T0000-0600,88101,1440,8640,7,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,1,10,20111030T0000-0600,88101,1440,8640,8.2,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,1,10,20110714T0000-0600,88101,1440,8640,11.7,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,1,10,20110714T0000-0600,88101,1440,8640,9.9,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,1,10,20111105T0000-0600,88101,1440,8640,4.2,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,1,10,20111105T0000-0600,88101,1440,8640,5.7,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,1,10,20111006T0000-0600,88101,1440,8640,6,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,1,10,20111006T0000-0600,88101,1440,8640,6.3,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,1,10,20110907T0000-0600,88101,1440,8640,27.3,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,1,10,20111209T0000-0600,88101,1440,8640,10.4,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,1,10,20110807T0000-0600,88101,1440,8640,5,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,1,10,20110807T0000-0600,88101,1440,8640,6,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,1,10,20110620T0000-0600,88101,1440,8640,7.2,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,1,10,20110620T0000-0600,88101,1440,8640,6.5,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,1,10,20110924T0000-0600,88101,1440,8640,9.2,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,1,10,20110924T0000-0600,88101,1440,8640,9.4,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,1,10,20110304T0000-0600,88101,1440,8640,11.3,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
